Matchup,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"FEB 22, 2015 - DEN @ OKC",L,240,94,35,97,36.1,7,27,25.9,17,20,85,16,26,42,19,13,5,12,19
"FEB 20, 2015 - DEN @ MIL",L,240,81,30,84,35.7,7,26,26.9,14,21,66.7,14,31,45,18,11,7,15,19
"FEB 10, 2015 - DEN @ LAL",W,240,106,43,79,54.4,4,16,25,16,23,69.6,4,31,35,25,9,8,7,22
"FEB 09, 2015 - DEN vs. OKC",L,240,114,42,87,48.3,9,28,32.1,21,29,72.4,12,26,38,20,7,4,10,25
"FEB 06, 2015 - DEN @ DET",L,240,88,33,85,38.8,5,22,22.7,17,22,77.3,11,32,43,22,7,5,13,24
"FEB 04, 2015 - DEN @ BOS",L,240,100,33,80,41.3,4,24,16.7,30,33,90.9,14,34,48,18,9,6,15,19
"FEB 03, 2015 - DEN @ PHI",L,240,98,33,85,38.8,12,31,38.7,20,28,71.4,8,29,37,26,13,3,14,29
"JAN 31, 2015 - DEN vs. CHA",L,240,86,33,92,35.9,5,24,20.8,15,20,75,8,36,44,21,2,8,12,19
"JAN 29, 2015 - DEN @ MEM",L,240,69,29,87,33.3,2,26,7.7,9,10,90,10,37,47,19,6,5,16,19
"JAN 28, 2015 - DEN @ NOP",W,240,93,39,85,45.9,10,17,58.8,5,7,71.4,8,31,39,30,4,7,8,22
"JAN 26, 2015 - DEN @ LAC",L,240,98,40,83,48.2,8,21,38.1,10,15,66.7,8,30,38,26,7,4,10,15
"JAN 25, 2015 - DEN vs. WAS",L,265,115,41,101,40.6,12,29,41.4,21,28,75,14,31,45,26,7,3,9,24
"JAN 23, 2015 - DEN vs. BOS",L,240,99,37,89,41.6,6,21,28.6,19,26,73.1,17,31,48,20,8,2,12,19
"JAN 20, 2015 - DEN vs. SAS",L,240,99,37,79,46.8,5,14,35.7,20,29,69,12,30,42,26,7,0,16,23
"JAN 19, 2015 - DEN @ GSW",L,240,79,30,87,34.5,7,24,29.2,12,19,63.2,8,31,39,17,9,3,16,19
"JAN 17, 2015 - DEN vs. MIN",L,240,105,38,92,41.3,10,31,32.3,19,22,86.4,13,26,39,21,10,4,10,20
"JAN 16, 2015 - DEN @ DAL",L,240,89,34,83,41,9,25,36,12,25,48,13,39,52,23,6,3,15,27
"JAN 14, 2015 - DEN vs. DAL",W,240,114,41,82,50,4,19,21.1,28,35,80,11,40,51,25,6,7,16,25
"JAN 09, 2015 - DEN @ SAC",W,240,118,47,85,55.3,5,17,29.4,19,28,67.9,10,29,39,27,10,6,11,25
"JAN 07, 2015 - DEN vs. ORL",W,240,93,33,74,44.6,7,17,41.2,20,26,76.9,6,41,47,22,5,4,21,17
"JAN 05, 2015 - DEN @ MIN",W,240,110,46,84,54.8,7,19,36.8,11,16,68.8,9,32,41,26,8,6,12,22
"JAN 03, 2015 - DEN vs. MEM",W,240,114,41,79,51.9,7,15,46.7,25,31,80.6,8,40,48,21,6,8,13,14
"JAN 01, 2015 - DEN @ CHI",L,240,101,37,92,40.2,5,14,35.7,22,27,81.5,17,40,57,19,4,7,12,27
"DEC 30, 2014 - DEN vs. LAL",L,240,103,39,87,44.8,8,26,30.8,17,27,63,11,28,39,25,13,7,11,24
"DEC 28, 2014 - DEN vs. TOR",L,240,102,37,87,42.5,4,17,23.5,24,34,70.6,15,34,49,18,3,2,10,24
"DEC 26, 2014 - DEN vs. MIN",W,240,106,39,95,41.1,3,19,15.8,25,32,78.1,22,40,62,18,1,6,18,23
"DEC 23, 2014 - DEN @ BKN",L,240,96,36,82,43.9,7,25,28,17,22,77.3,14,37,51,15,4,4,18,15
"DEC 22, 2014 - DEN @ CHA",L,240,82,31,82,37.8,2,18,11.1,18,24,75,9,28,37,11,6,4,13,20
"DEC 20, 2014 - DEN vs. IND",W,240,76,30,82,36.6,2,16,12.5,14,19,73.7,9,40,49,14,7,7,16,20
"DEC 19, 2014 - DEN vs. LAC",W,240,109,38,80,47.5,11,29,37.9,22,30,73.3,9,31,40,30,6,1,21,24
"DEC 17, 2014 - DEN vs. HOU",L,265,111,40,99,40.4,13,30,43.3,18,23,78.3,16,35,51,30,8,1,15,36
"DEC 14, 2014 - DEN vs. SAS",L,240,91,34,83,41,8,16,50,15,21,71.4,15,30,45,20,10,4,21,29
"DEC 13, 2014 - DEN @ HOU",L,240,96,36,96,37.5,7,28,25,17,26,65.4,15,36,51,24,7,7,15,26
"DEC 10, 2014 - DEN vs. MIA",W,240,102,38,85,44.7,8,23,34.8,18,27,66.7,17,33,50,21,7,4,10,18
"DEC 08, 2014 - DEN @ TOR",L,265,107,43,104,41.3,10,30,33.3,11,15,73.3,19,30,49,21,7,2,13,28
"DEC 07, 2014 - DEN @ ATL",L,240,84,34,93,36.6,6,35,17.1,10,13,76.9,16,36,52,25,9,4,14,22
"DEC 05, 2014 - DEN @ WAS",L,240,89,31,82,37.8,5,22,22.7,22,30,73.3,10,26,36,16,8,7,19,22
"DEC 02, 2014 - DEN vs. POR",L,240,103,41,81,50.6,7,20,35,14,19,73.7,7,34,41,21,8,2,14,19
"DEC 01, 2014 - DEN @ UTA",W,240,103,41,87,47.1,9,26,34.6,12,17,70.6,8,31,39,23,7,6,10,22
"NOV 28, 2014 - DEN vs. PHX",W,240,122,41,88,46.6,8,21,38.1,32,36,88.9,16,42,58,20,10,3,18,27
"NOV 26, 2014 - DEN @ PHX",L,240,112,39,90,43.3,8,25,32,26,34,76.5,20,27,47,19,10,4,17,22
"NOV 25, 2014 - DEN vs. CHI",W,240,114,43,85,50.6,8,16,50,20,27,74.1,14,31,45,22,5,7,14,25
"NOV 23, 2014 - DEN @ LAL",W,265,101,34,90,37.8,10,37,27,23,38,60.5,14,43,57,20,7,2,16,28
"NOV 21, 2014 - DEN vs. NOP",W,240,117,43,82,52.4,11,24,45.8,20,25,80,8,33,41,24,8,10,10,24
"NOV 19, 2014 - DEN vs. OKC",W,240,107,40,82,48.8,10,29,34.5,17,22,77.3,12,30,42,25,6,5,8,20
"NOV 17, 2014 - DEN @ CLE",W,240,106,41,85,48.2,12,31,38.7,12,15,80,9,30,39,25,10,4,15,18
"NOV 16, 2014 - DEN @ NYK",L,240,93,32,82,39,13,34,38.2,16,26,61.5,10,29,39,20,9,0,17,21
"NOV 14, 2014 - DEN @ IND",W,240,108,43,87,49.4,8,23,34.8,14,25,56,13,33,46,20,8,5,8,25
"NOV 12, 2014 - DEN vs. POR",L,240,113,39,90,43.3,8,23,34.8,27,33,81.8,15,32,47,21,10,2,12,24
"NOV 09, 2014 - DEN @ POR",L,240,100,36,91,39.6,5,13,38.5,23,30,76.7,18,37,55,14,5,7,15,22
"NOV 07, 2014 - DEN vs. CLE",L,240,101,40,85,47.1,11,29,37.9,10,15,66.7,8,34,42,22,5,5,13,22
"NOV 05, 2014 - DEN @ SAC",L,240,109,37,82,45.1,9,28,32.1,26,31,83.9,7,25,32,24,4,5,14,37
"NOV 03, 2014 - DEN vs. SAC",L,240,105,36,93,38.7,5,24,20.8,28,33,84.8,15,27,42,22,4,7,15,35
"NOV 01, 2014 - DEN @ OKC",L,240,91,35,80,43.8,7,26,26.9,14,20,70,11,30,41,19,4,10,17,26
"OCT 29, 2014 - DEN vs. DET",W,240,89,30,85,35.3,6,24,25,23,31,74.2,14,37,51,17,7,4,15,21
"APR 15, 2015 - GSW vs. DEN",W,240,133,47,90,52.2,13,28,46.4,26,34,76.5,14,27,41,30,11,6,13,25
"APR 13, 2015 - GSW vs. MEM",W,240,111,39,74,52.7,13,24,54.2,20,27,74.1,6,33,39,30,9,7,21,22
"APR 11, 2015 - GSW vs. MIN",W,240,110,42,93,45.2,11,31,35.5,15,21,71.4,13,37,50,28,10,5,12,19
"APR 09, 2015 - GSW vs. POR",W,240,116,48,90,53.3,12,26,46.2,8,9,88.9,9,35,44,27,6,5,13,12
"APR 07, 2015 - GSW @ NOP",L,240,100,42,95,44.2,9,22,40.9,7,10,70,11,39,50,25,6,12,11,21
"APR 05, 2015 - GSW @ SAS",L,240,92,39,91,42.9,9,28,32.1,5,10,50,10,29,39,25,4,2,10,13
"APR 04, 2015 - GSW @ DAL",W,240,123,43,95,45.3,14,36,38.9,23,32,71.9,17,38,55,28,12,4,14,37
"APR 02, 2015 - GSW vs. PHX",W,240,107,43,93,46.2,10,26,38.5,11,17,64.7,15,35,50,29,6,5,13,20
"MAR 31, 2015 - GSW @ LAC",W,240,110,38,85,44.7,8,21,38.1,26,34,76.5,10,33,43,28,6,1,9,20
"MAR 28, 2015 - GSW @ MIL",W,240,108,42,82,51.2,12,25,48,12,14,85.7,7,38,45,27,7,8,22,23
"MAR 27, 2015 - GSW @ MEM",W,240,107,39,90,43.3,16,31,51.6,13,17,76.5,14,29,43,28,15,5,14,17
"MAR 24, 2015 - GSW @ POR",W,240,122,50,83,60.2,12,26,46.2,10,11,90.9,6,40,46,37,4,5,13,18
"MAR 23, 2015 - GSW vs. WAS",W,240,107,39,95,41.1,13,33,39.4,16,21,76.2,19,43,62,23,9,6,11,14
"MAR 21, 2015 - GSW vs. UTA",W,240,106,38,78,48.7,8,18,44.4,22,26,84.6,7,30,37,25,11,3,10,17
"MAR 20, 2015 - GSW vs. NOP",W,240,112,44,88,50,5,19,26.3,19,23,82.6,12,30,42,29,9,6,10,19
"MAR 18, 2015 - GSW vs. ATL",W,240,114,44,84,52.4,14,30,46.7,12,20,60,10,34,44,39,8,7,18,23
"MAR 16, 2015 - GSW vs. LAL",W,240,108,40,84,47.6,7,27,25.9,21,23,91.3,7,30,37,28,16,7,14,21
"MAR 14, 2015 - GSW vs. NYK",W,240,125,45,90,50,19,34,55.9,16,17,94.1,8,34,42,34,13,6,9,16
"MAR 13, 2015 - GSW @ DEN",L,240,103,39,92,42.4,8,19,42.1,17,22,77.3,9,26,35,29,5,10,8,25
"MAR 11, 2015 - GSW vs. DET",W,240,105,44,84,52.4,7,20,35,10,13,76.9,10,32,42,29,5,6,17,11
"MAR 09, 2015 - GSW @ PHX",W,240,98,35,83,42.2,13,31,41.9,15,19,78.9,9,39,48,17,11,8,18,21
"MAR 08, 2015 - GSW vs. LAC",W,240,106,40,80,50,10,22,45.5,16,23,69.6,7,30,37,23,13,3,13,15
"MAR 06, 2015 - GSW vs. DAL",W,240,104,38,81,46.9,11,23,47.8,17,19,89.5,9,42,51,28,5,11,22,21
"MAR 04, 2015 - GSW vs. MIL",W,240,102,37,73,50.7,14,34,41.2,14,25,56,4,30,34,30,16,8,16,24
"MAR 02, 2015 - GSW @ BKN",L,240,108,42,90,46.7,11,30,36.7,13,18,72.2,17,33,50,26,11,7,15,20
"MAR 01, 2015 - GSW @ BOS",W,240,106,40,95,42.1,12,34,35.3,14,17,82.4,15,40,55,19,4,8,10,18
"FEB 27, 2015 - GSW @ TOR",W,240,113,42,87,48.3,13,28,46.4,16,19,84.2,9,38,47,31,11,5,12,22
"FEB 26, 2015 - GSW @ CLE",L,240,99,39,92,42.4,11,29,37.9,10,19,52.6,14,30,44,32,10,6,14,24
"FEB 24, 2015 - GSW @ WAS",W,240,114,45,90,50,12,23,52.2,12,17,70.6,4,25,29,27,12,1,9,17
"FEB 22, 2015 - GSW @ IND",L,240,98,34,89,38.2,9,26,34.6,21,22,95.5,13,32,45,19,9,5,9,25
"FEB 20, 2015 - GSW vs. SAS",W,240,110,41,84,48.8,17,33,51.5,11,18,61.1,7,33,40,29,10,5,12,18
"FEB 11, 2015 - GSW @ MIN",W,240,94,40,90,44.4,7,27,25.9,7,9,77.8,10,39,49,26,7,6,15,18
"FEB 09, 2015 - GSW @ PHI",W,240,89,34,85,40,7,29,24.1,14,19,73.7,6,34,40,26,15,5,14,14
"FEB 07, 2015 - GSW @ NYK",W,240,106,37,81,45.7,12,25,48,20,24,83.3,12,36,48,21,8,5,14,19
"FEB 06, 2015 - GSW @ ATL",L,240,116,47,103,45.6,12,33,36.4,10,15,66.7,19,32,51,31,7,7,14,24
"FEB 04, 2015 - GSW vs. DAL",W,240,128,45,86,52.3,19,38,50,19,25,76,10,36,46,29,5,5,13,22
"FEB 03, 2015 - GSW @ SAC",W,240,121,46,91,50.5,10,23,43.5,19,26,73.1,14,35,49,33,13,5,11,23
"JAN 31, 2015 - GSW vs. PHX",W,240,106,40,87,46,12,32,37.5,14,18,77.8,9,35,44,27,11,8,15,20
"JAN 30, 2015 - GSW @ UTA",L,240,100,37,86,43,8,27,29.6,18,25,72,11,30,41,21,8,2,13,19
"JAN 27, 2015 - GSW vs. CHI",L,265,111,48,113,42.5,9,33,27.3,6,12,50,15,33,48,31,9,2,13,15
"JAN 25, 2015 - GSW vs. BOS",W,240,114,42,89,47.2,8,23,34.8,22,25,88,9,38,47,29,9,3,13,20
"JAN 23, 2015 - GSW vs. SAC",W,240,126,45,94,47.9,17,40,42.5,19,22,86.4,12,34,46,32,13,8,17,22
"JAN 21, 2015 - GSW vs. HOU",W,240,126,49,98,50,13,29,44.8,15,18,83.3,16,30,46,26,13,9,16,23
"JAN 19, 2015 - GSW vs. DEN",W,240,122,44,81,54.3,13,27,48.1,21,27,77.8,7,46,53,30,10,6,13,14
"JAN 17, 2015 - GSW @ HOU",W,240,131,50,91,54.9,9,22,40.9,22,33,66.7,12,37,49,32,11,11,14,21
"JAN 16, 2015 - GSW @ OKC",L,240,115,42,92,45.7,9,24,37.5,22,28,78.6,13,30,43,24,10,2,14,14
"JAN 14, 2015 - GSW vs. MIA",W,240,104,38,81,46.9,13,29,44.8,15,19,78.9,10,26,36,29,5,5,13,21
"JAN 13, 2015 - GSW @ UTA",W,240,116,46,91,50.5,13,25,52,11,13,84.6,6,25,31,32,10,5,9,16
"JAN 09, 2015 - GSW vs. CLE",W,240,112,43,86,50,10,30,33.3,16,17,94.1,9,35,44,35,9,8,13,20
"JAN 07, 2015 - GSW vs. IND",W,240,117,45,91,49.5,12,28,42.9,15,20,75,10,29,39,30,11,3,11,23
"JAN 05, 2015 - GSW vs. OKC",W,240,117,41,88,46.6,15,28,53.6,20,32,62.5,10,44,54,27,8,4,12,22
"JAN 02, 2015 - GSW vs. TOR",W,240,126,49,92,53.3,12,28,42.9,16,20,80,14,31,45,35,8,8,9,18
"DEC 30, 2014 - GSW vs. PHI",W,240,126,46,82,56.1,12,28,42.9,22,27,81.5,8,34,42,38,19,11,14,20
"DEC 27, 2014 - GSW vs. MIN",W,240,110,41,88,46.6,11,28,39.3,17,21,81,9,34,43,32,17,6,16,21
"DEC 25, 2014 - GSW @ LAC",L,240,86,34,80,42.5,6,28,21.4,12,22,54.5,8,36,44,24,11,4,16,21
"DEC 23, 2014 - GSW @ LAL",L,240,105,39,84,46.4,12,26,46.2,15,17,88.2,11,28,39,20,8,2,19,18
"DEC 22, 2014 - GSW vs. SAC",W,240,128,49,91,53.8,9,25,36,21,24,87.5,10,35,45,36,9,6,12,19
"DEC 18, 2014 - GSW vs. OKC",W,240,114,48,94,51.1,12,31,38.7,6,10,60,10,29,39,32,9,7,9,15
"DEC 16, 2014 - GSW @ MEM",L,240,98,39,95,41.1,9,31,29,11,12,91.7,15,34,49,18,9,11,14,19
"DEC 14, 2014 - GSW @ NOP",W,265,128,44,86,51.2,11,24,45.8,29,35,82.9,8,38,46,22,7,9,19,19
"DEC 13, 2014 - GSW @ DAL",W,240,105,37,83,44.6,10,32,31.3,21,27,77.8,9,36,45,21,7,7,13,24
"DEC 10, 2014 - GSW vs. HOU",W,240,105,40,81,49.4,8,23,34.8,17,20,85,6,37,43,21,9,5,15,16
"DEC 08, 2014 - GSW @ MIN",W,240,102,42,91,46.2,5,22,22.7,13,14,92.9,15,36,51,24,15,6,17,18
"DEC 06, 2014 - GSW @ CHI",W,240,112,40,89,44.9,12,30,40,20,25,80,15,25,40,27,14,6,11,21
"DEC 04, 2014 - GSW vs. NOP",W,240,112,47,100,47,10,22,45.5,8,17,47.1,18,38,56,31,11,8,9,8
"DEC 02, 2014 - GSW vs. ORL",W,240,98,38,82,46.3,8,27,29.6,14,18,77.8,13,36,49,25,8,5,15,15
"NOV 30, 2014 - GSW @ DET",W,240,104,37,79,46.8,9,21,42.9,21,27,77.8,9,40,49,24,5,8,16,19
"NOV 28, 2014 - GSW @ CHA",W,240,106,42,99,42.4,7,26,26.9,15,16,93.8,16,30,46,28,7,8,12,26
"NOV 26, 2014 - GSW @ ORL",W,240,111,44,85,51.8,12,26,46.2,11,19,57.9,8,39,47,30,7,6,15,19
"NOV 25, 2014 - GSW @ MIA",W,240,114,43,75,57.3,13,28,46.4,15,23,65.2,5,40,45,21,6,9,11,24
"NOV 23, 2014 - GSW @ OKC",W,240,91,33,93,35.5,7,25,28,18,24,75,13,39,52,26,7,8,9,18
"NOV 21, 2014 - GSW vs. UTA",W,240,101,41,82,50,6,23,26.1,13,19,68.4,6,34,40,28,10,5,13,18
"NOV 16, 2014 - GSW @ LAL",W,240,136,46,86,53.5,14,28,50,30,34,88.2,11,40,51,32,4,5,16,26
"NOV 15, 2014 - GSW vs. CHA",W,240,112,45,87,51.7,11,26,42.3,11,14,78.6,11,40,51,30,7,3,14,25
"NOV 13, 2014 - GSW vs. BKN",W,240,107,41,90,45.6,11,34,32.4,14,21,66.7,14,31,45,30,7,10,10,16
"NOV 11, 2014 - GSW vs. SAS",L,240,100,38,70,54.3,7,20,35,17,20,85,1,37,38,23,5,4,19,16
"NOV 09, 2014 - GSW @ PHX",L,240,95,33,69,47.8,11,24,45.8,18,21,85.7,3,33,36,16,9,7,26,26
"NOV 08, 2014 - GSW @ HOU",W,240,98,39,87,44.8,9,28,32.1,11,17,64.7,15,39,54,22,11,8,26,19
"NOV 05, 2014 - GSW vs. LAC",W,240,121,43,74,58.1,15,25,60,20,20,100,4,35,39,29,7,3,23,22
"NOV 02, 2014 - GSW @ POR",W,240,95,36,81,44.4,6,19,31.6,17,21,81,7,34,41,22,11,7,17,16
"NOV 01, 2014 - GSW vs. LAL",W,240,127,46,83,55.4,11,23,47.8,24,28,85.7,12,31,43,30,10,4,20,26
"OCT 29, 2014 - GSW @ SAC",W,240,95,33,75,44,6,27,22.2,23,32,71.9,7,37,44,21,12,8,22,32
"APR 15, 2015 - HOU vs. UTA",W,240,117,41,76,53.9,12,28,42.9,23,34,67.6,4,45,49,28,9,13,18,19
"APR 13, 2015 - HOU @ CHA",W,240,100,35,85,41.2,9,35,25.7,21,26,80.8,10,39,49,19,9,10,10,18
"APR 12, 2015 - HOU vs. NOP",W,240,121,39,73,53.4,9,24,37.5,34,48,70.8,9,31,40,16,6,6,11,18
"APR 10, 2015 - HOU vs. SAS",L,240,103,31,66,47,9,21,42.9,32,53,60.4,9,30,39,19,9,5,20,26
"APR 08, 2015 - HOU @ SAS",L,240,98,39,84,46.4,10,25,40,10,16,62.5,8,31,39,25,7,3,13,12
"APR 05, 2015 - HOU @ OKC",W,240,115,38,81,46.9,8,28,28.6,31,50,62,12,30,42,18,14,4,10,25
"APR 02, 2015 - HOU @ DAL",W,240,108,34,77,44.2,11,31,35.5,29,40,72.5,17,38,55,24,9,2,18,24
"APR 01, 2015 - HOU vs. SAC",W,240,115,41,89,46.1,18,40,45,15,25,60,14,28,42,24,14,13,17,17
"MAR 30, 2015 - HOU @ TOR",L,240,96,35,84,41.7,8,27,29.6,18,31,58.1,12,29,41,21,7,3,13,22
"MAR 29, 2015 - HOU @ WAS",W,240,99,34,80,42.5,9,29,31,22,33,66.7,16,37,53,18,12,6,19,25
"MAR 27, 2015 - HOU vs. MIN",W,240,120,44,83,53,20,44,45.5,12,17,70.6,13,28,41,34,10,6,17,26
"MAR 25, 2015 - HOU @ NOP",W,240,95,40,81,49.4,6,22,27.3,9,12,75,12,31,43,29,7,4,18,22
"MAR 23, 2015 - HOU @ IND",W,240,110,31,65,47.7,13,24,54.2,35,37,94.6,4,31,35,16,11,5,19,25
"MAR 21, 2015 - HOU vs. PHX",L,240,102,41,87,47.1,10,34,29.4,10,12,83.3,4,32,36,28,7,5,18,21
"MAR 19, 2015 - HOU vs. DEN",W,240,118,37,83,44.6,12,30,40,32,40,80,10,39,49,27,8,4,16,19
"MAR 17, 2015 - HOU vs. ORL",W,240,107,39,78,50,11,27,40.7,18,27,66.7,12,35,47,27,7,6,14,14
"MAR 15, 2015 - HOU @ LAC",W,240,100,32,86,37.2,7,30,23.3,29,36,80.6,11,32,43,17,7,3,12,22
"MAR 12, 2015 - HOU @ UTA",L,240,91,34,79,43,7,32,21.9,16,24,66.7,8,29,37,19,8,2,9,22
"MAR 11, 2015 - HOU @ POR",L,240,100,38,91,41.8,11,31,35.5,13,23,56.5,12,28,40,21,12,5,11,16
"MAR 07, 2015 - HOU @ DEN",W,240,114,40,86,46.5,10,28,35.7,24,32,75,11,37,48,25,11,2,22,22
"MAR 06, 2015 - HOU vs. DET",W,240,103,38,91,41.8,6,28,21.4,21,25,84,13,42,55,23,6,6,19,16
"MAR 04, 2015 - HOU vs. MEM",L,240,100,42,86,48.8,11,28,39.3,5,5,100,12,28,40,24,7,5,12,12
"MAR 03, 2015 - HOU @ ATL",L,240,96,39,90,43.3,14,41,34.1,4,9,44.4,8,33,41,30,6,6,12,21
"MAR 01, 2015 - HOU vs. CLE",W,265,105,34,74,45.9,11,30,36.7,26,33,78.8,8,28,36,21,11,5,19,20
"FEB 27, 2015 - HOU vs. BKN",W,240,102,39,84,46.4,9,32,28.1,15,17,88.2,8,33,41,26,9,5,13,25
"FEB 25, 2015 - HOU vs. LAC",W,240,110,36,88,40.9,17,44,38.6,21,30,70,12,34,46,27,7,9,9,20
"FEB 23, 2015 - HOU vs. MIN",W,240,113,39,94,41.5,12,38,31.6,23,34,67.6,22,34,56,23,11,8,16,28
"FEB 21, 2015 - HOU vs. TOR",W,240,98,35,84,41.7,6,29,20.7,22,31,71,11,41,52,22,17,9,23,23
"FEB 20, 2015 - HOU @ DAL",L,240,100,36,87,41.4,12,37,32.4,16,26,61.5,14,33,47,20,8,9,21,22
"FEB 11, 2015 - HOU @ LAC",L,240,95,34,87,39.1,9,45,20,18,22,81.8,14,27,41,26,6,6,17,33
"FEB 10, 2015 - HOU @ PHX",W,240,127,48,95,50.5,15,37,40.5,16,23,69.6,15,32,47,28,9,3,13,24
"FEB 08, 2015 - HOU vs. POR",L,240,98,31,82,37.8,13,35,37.1,23,34,67.6,15,25,40,24,7,1,11,24
"FEB 06, 2015 - HOU vs. MIL",W,240,117,41,81,50.6,15,32,46.9,20,29,69,10,32,42,32,11,5,17,17
"FEB 04, 2015 - HOU vs. CHI",W,240,101,38,92,41.3,8,27,29.6,17,23,73.9,11,36,47,18,6,8,6,19
"JAN 31, 2015 - HOU @ DET",L,240,101,39,87,44.8,11,32,34.4,12,19,63.2,11,28,39,23,10,3,13,29
"JAN 30, 2015 - HOU @ BOS",W,240,93,35,84,41.7,8,30,26.7,15,20,75,12,38,50,22,6,4,16,18
"JAN 28, 2015 - HOU vs. DAL",W,240,99,36,88,40.9,14,35,40,13,15,86.7,11,28,39,21,14,7,16,19
"JAN 25, 2015 - HOU @ LAL",W,240,99,35,87,40.2,13,44,29.5,16,21,76.2,11,35,46,22,13,4,14,23
"JAN 23, 2015 - HOU @ PHX",W,240,113,44,84,52.4,10,27,37,15,20,75,6,35,41,24,7,6,14,21
"JAN 21, 2015 - HOU @ GSW",L,240,113,37,87,42.5,13,32,40.6,26,31,83.9,17,29,46,23,9,3,19,22
"JAN 19, 2015 - HOU vs. IND",W,240,110,37,72,51.4,12,31,38.7,24,33,72.7,7,32,39,26,13,2,19,19
"JAN 17, 2015 - HOU vs. GSW",L,240,106,37,88,42,7,23,30.4,25,34,73.5,10,29,39,22,10,2,17,24
"JAN 15, 2015 - HOU vs. OKC",W,240,112,41,86,47.7,16,36,44.4,14,19,73.7,11,30,41,25,12,3,12,19
"JAN 14, 2015 - HOU @ ORL",L,240,113,42,83,50.6,9,26,34.6,20,23,87,10,28,38,26,11,6,20,19
"JAN 12, 2015 - HOU @ BKN",W,240,113,41,86,47.7,16,40,40,15,20,75,12,30,42,22,9,2,14,18
"JAN 10, 2015 - HOU vs. UTA",W,240,97,33,77,42.9,13,34,38.2,18,21,85.7,8,25,33,24,16,3,20,20
"JAN 08, 2015 - HOU @ NYK",W,240,120,41,77,53.2,16,36,44.4,22,32,68.8,7,29,36,25,14,5,19,23
"JAN 07, 2015 - HOU @ CLE",W,240,105,39,86,45.3,12,34,35.3,15,24,62.5,19,31,50,26,9,3,17,22
"JAN 05, 2015 - HOU @ CHI",L,240,105,47,102,46.1,8,25,32,3,5,60,16,25,41,25,9,8,16,27
"JAN 03, 2015 - HOU vs. MIA",W,240,115,41,83,49.4,13,31,41.9,20,28,71.4,17,31,48,21,13,1,16,18
"JAN 02, 2015 - HOU @ NOP",L,240,83,35,88,39.8,6,29,20.7,7,11,63.6,13,25,38,22,13,3,19,22
"DEC 31, 2014 - HOU vs. CHA",W,240,102,38,88,43.2,17,43,39.5,9,14,64.3,10,31,41,22,10,7,14,25
"DEC 29, 2014 - HOU vs. WAS",L,240,103,40,86,46.5,9,29,31,14,23,60.9,12,26,38,19,11,1,18,20
"DEC 28, 2014 - HOU @ SAS",L,240,106,38,77,49.4,12,33,36.4,18,31,58.1,12,30,42,20,15,1,24,24
"DEC 26, 2014 - HOU @ MEM",W,265,117,41,91,45.1,14,34,41.2,21,28,75,13,41,54,25,2,7,14,23
"DEC 22, 2014 - HOU vs. POR",W,240,110,41,87,47.1,13,36,36.1,15,20,75,7,35,42,22,14,3,16,22
"DEC 20, 2014 - HOU vs. ATL",L,240,97,34,86,39.5,15,43,34.9,14,18,77.8,15,28,43,27,8,4,16,25
"DEC 18, 2014 - HOU vs. NOP",L,240,90,33,86,38.4,6,25,24,18,23,78.3,12,31,43,19,8,4,11,18
"DEC 17, 2014 - HOU @ DEN",W,265,115,35,85,41.2,8,28,28.6,37,48,77.1,10,45,55,17,7,5,16,23
"DEC 13, 2014 - HOU vs. DEN",W,240,108,39,88,44.3,10,34,29.4,20,34,58.8,13,39,52,20,8,7,14,21
"DEC 11, 2014 - HOU @ SAC",W,265,113,38,95,40,15,44,34.1,22,31,71,14,28,42,18,13,3,14,27
"DEC 10, 2014 - HOU @ GSW",L,240,93,37,90,41.1,9,35,25.7,10,15,66.7,12,32,44,15,9,2,15,17
"DEC 06, 2014 - HOU vs. PHX",W,240,100,33,81,40.7,11,27,40.7,23,31,74.2,19,38,57,16,7,7,22,23
"DEC 05, 2014 - HOU @ MIN",W,265,114,38,78,48.7,12,32,37.5,26,31,83.9,7,35,42,19,3,3,22,28
"DEC 03, 2014 - HOU vs. MEM",W,240,105,41,93,44.1,10,28,35.7,13,20,65,23,29,52,22,14,8,19,26
"NOV 29, 2014 - HOU @ MIL",W,240,117,44,87,50.6,15,38,39.5,14,16,87.5,13,31,44,26,7,5,13,24
"NOV 28, 2014 - HOU vs. LAC",L,240,85,32,82,39,10,37,27,11,15,73.3,8,32,40,17,7,6,14,27
"NOV 26, 2014 - HOU vs. SAC",W,240,102,42,94,44.7,12,35,34.3,6,15,40,13,28,41,26,13,5,4,25
"NOV 24, 2014 - HOU vs. NYK",W,240,91,32,76,42.1,14,36,38.9,13,19,68.4,10,28,38,19,13,4,16,19
"NOV 22, 2014 - HOU vs. DAL",W,240,95,30,82,36.6,15,46,32.6,20,23,87,14,33,47,17,8,0,17,23
"NOV 19, 2014 - HOU vs. LAL",L,240,92,30,74,40.5,15,38,39.5,17,23,73.9,6,32,38,20,8,6,17,25
"NOV 17, 2014 - HOU @ MEM",L,240,93,34,78,43.6,8,34,23.5,17,21,81,10,25,35,24,6,4,21,19
"NOV 16, 2014 - HOU @ OKC",W,240,69,23,80,28.8,7,35,20,16,30,53.3,22,32,54,11,5,6,14,23
