Matchup,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"DEC 30, 2014 - NOP vs. PHX",W,240,110,42,81,51.9,8,18,44.4,18,29,62.1,13,36,49,19,4,2,10,18
"DEC 27, 2014 - NOP @ CHI",L,240,100,41,88,46.6,4,14,28.6,14,16,87.5,10,27,37,18,9,8,15,19
"DEC 26, 2014 - NOP vs. SAS",W,240,97,35,84,41.7,6,17,35.3,21,24,87.5,7,37,44,25,8,7,8,15
"DEC 23, 2014 - NOP @ IND",L,240,84,33,83,39.8,4,20,20,14,19,73.7,9,37,46,15,4,2,15,18
"DEC 21, 2014 - NOP @ OKC",W,240,101,43,90,47.8,7,20,35,8,10,80,10,29,39,33,11,7,9,17
"DEC 20, 2014 - NOP vs. POR",L,240,88,30,85,35.3,3,15,20,25,28,89.3,20,28,48,15,7,6,16,11
"DEC 18, 2014 - NOP @ HOU",W,240,99,38,82,46.3,5,18,27.8,18,22,81.8,12,33,45,21,4,8,12,17
"DEC 16, 2014 - NOP vs. UTA",W,240,119,47,79,59.5,8,16,50,17,18,94.4,9,23,32,24,9,9,16,20
"DEC 14, 2014 - NOP vs. GSW",L,265,122,47,101,46.5,8,27,29.6,20,25,80,12,32,44,22,14,6,13,27
"DEC 12, 2014 - NOP vs. CLE",W,240,119,44,79,55.7,12,28,42.9,19,25,76,6,33,39,21,5,6,7,15
"DEC 10, 2014 - NOP @ DAL",L,240,107,40,88,45.5,7,18,38.9,20,24,83.3,16,29,45,16,5,3,11,20
"DEC 09, 2014 - NOP vs. NYK",W,240,104,40,80,50,4,15,26.7,20,26,76.9,12,31,43,22,7,8,11,14
"DEC 07, 2014 - NOP @ LAL",W,240,104,43,83,51.8,8,18,44.4,10,15,66.7,9,41,50,28,2,4,15,14
"DEC 06, 2014 - NOP @ LAC",L,240,100,38,80,47.5,8,23,34.8,16,25,64,12,33,45,26,4,2,11,18
"DEC 04, 2014 - NOP @ GSW",L,240,85,37,89,41.6,3,15,20,8,13,61.5,10,37,47,23,8,4,17,15
"DEC 02, 2014 - NOP vs. OKC",W,240,112,39,88,44.3,5,17,29.4,29,45,64.4,16,33,49,23,13,11,13,21
"NOV 29, 2014 - NOP @ WAS",L,240,80,30,81,37,6,17,35.3,14,21,66.7,13,29,42,12,8,1,12,14
"NOV 28, 2014 - NOP @ ATL",L,240,91,36,89,40.4,7,24,29.2,12,16,75,16,26,42,23,8,4,12,19
"NOV 25, 2014 - NOP vs. SAC",L,240,89,33,79,41.8,3,17,17.6,20,29,69,14,26,40,15,3,6,10,23
"NOV 22, 2014 - NOP @ UTA",W,240,106,42,93,45.2,4,17,23.5,18,22,81.8,18,26,44,19,11,7,9,22
"NOV 21, 2014 - NOP @ DEN",L,240,97,31,78,39.7,5,16,31.3,30,34,88.2,8,32,40,19,7,3,12,22
"NOV 18, 2014 - NOP @ SAC",W,240,106,39,79,49.4,9,24,37.5,19,24,79.2,4,28,32,21,6,6,6,25
"NOV 17, 2014 - NOP @ POR",L,240,93,38,85,44.7,5,19,26.3,12,19,63.2,13,28,41,16,11,4,11,23
"NOV 14, 2014 - NOP vs. MIN",W,240,139,56,84,66.7,15,20,75,12,16,75,3,31,34,31,13,3,13,30
"NOV 12, 2014 - NOP vs. LAL",W,240,109,45,82,54.9,8,19,42.1,11,18,61.1,8,36,44,27,3,12,13,24
"NOV 10, 2014 - NOP @ CLE",L,240,111,41,93,44.1,12,27,44.4,17,20,85,14,26,40,31,8,5,5,20
"NOV 08, 2014 - NOP @ SAS",W,240,100,40,85,47.1,8,21,38.1,12,14,85.7,6,24,30,22,11,9,11,20
"NOV 04, 2014 - NOP vs. CHA",W,240,100,38,81,46.9,5,18,27.8,19,19,100,11,36,47,26,5,6,12,19
"NOV 03, 2014 - NOP @ MEM",L,240,81,29,86,33.7,4,24,16.7,19,29,65.5,14,35,49,14,5,3,12,30
"NOV 01, 2014 - NOP vs. DAL",L,240,104,38,89,42.7,7,19,36.8,21,28,75,14,33,47,24,8,4,13,19
"OCT 28, 2014 - NOP vs. ORL",W,240,101,41,101,40.6,4,17,23.5,15,31,48.4,26,36,62,20,10,17,9,17
"APR 15, 2015 - CHI vs. ATL",W,240,91,31,77,40.3,7,24,29.2,22,26,84.6,7,43,50,14,11,9,21,12
"APR 13, 2015 - CHI @ BKN",W,240,113,44,88,50,12,30,40,13,17,76.5,9,37,46,26,7,8,7,18
"APR 11, 2015 - CHI vs. PHI",W,240,114,40,90,44.4,9,26,34.6,25,36,69.4,13,35,48,20,8,5,10,20
"APR 09, 2015 - CHI @ MIA",W,240,89,35,91,38.5,6,23,26.1,13,17,76.5,15,36,51,17,10,2,11,11
"APR 08, 2015 - CHI @ ORL",L,240,103,34,79,43,12,26,46.2,23,31,74.2,12,29,41,25,9,4,15,16
"APR 05, 2015 - CHI @ CLE",L,240,94,34,76,44.7,11,27,40.7,15,21,71.4,9,36,45,28,7,2,16,22
"APR 03, 2015 - CHI vs. DET",W,240,88,33,85,38.8,4,17,23.5,18,21,85.7,19,25,44,18,9,5,10,15
"APR 01, 2015 - CHI @ MIL",L,240,91,31,74,41.9,5,26,19.2,24,37,64.9,12,28,40,18,11,3,20,21
"MAR 28, 2015 - CHI vs. NYK",W,240,111,43,84,51.2,6,17,35.3,19,22,86.4,12,39,51,28,8,5,12,16
"MAR 25, 2015 - CHI @ TOR",W,240,116,45,74,60.8,12,23,52.2,14,17,82.4,2,29,31,26,4,6,8,16
"MAR 23, 2015 - CHI vs. CHA",W,240,98,37,82,45.1,3,16,18.8,21,29,72.4,6,40,46,21,5,7,6,20
"MAR 21, 2015 - CHI @ DET",L,240,91,33,77,42.9,6,21,28.6,19,24,79.2,8,37,45,22,2,1,11,11
"MAR 20, 2015 - CHI vs. TOR",W,240,108,42,79,53.2,9,28,32.1,15,17,88.2,13,34,47,32,4,7,12,21
"MAR 18, 2015 - CHI vs. IND",W,240,103,34,82,41.5,10,24,41.7,25,28,89.3,9,43,52,22,6,4,12,23
"MAR 15, 2015 - CHI @ OKC",L,240,100,37,83,44.6,9,29,31,17,24,70.8,9,24,33,20,5,3,11,24
"MAR 13, 2015 - CHI @ CHA",L,240,91,31,82,37.8,15,32,46.9,14,19,73.7,4,32,36,18,4,6,10,25
"MAR 11, 2015 - CHI @ PHI",W,265,104,40,87,46,10,24,41.7,14,20,70,8,50,58,24,6,2,18,16
"MAR 09, 2015 - CHI vs. MEM",L,240,91,35,80,43.8,10,22,45.5,11,14,78.6,9,35,44,18,7,2,15,13
"MAR 08, 2015 - CHI @ SAS",L,240,105,37,73,50.7,5,15,33.3,26,29,89.7,7,37,44,20,6,6,20,24
"MAR 06, 2015 - CHI @ IND",L,240,84,31,86,36,5,23,21.7,17,19,89.5,14,30,44,20,5,3,11,25
"MAR 05, 2015 - CHI vs. OKC",W,240,108,40,87,46,7,25,28,21,26,80.8,12,36,48,26,4,3,10,15
"MAR 03, 2015 - CHI vs. WAS",W,240,97,33,78,42.3,9,29,31,22,30,73.3,10,37,47,20,5,7,16,16
"MAR 01, 2015 - CHI vs. LAC",L,240,86,27,87,31,10,26,38.5,22,30,73.3,17,34,51,18,2,1,11,17
"FEB 27, 2015 - CHI vs. MIN",W,240,96,37,96,38.5,9,31,29,13,16,81.3,22,31,53,24,5,5,9,24
"FEB 25, 2015 - CHI vs. CHA",L,240,86,34,77,44.2,3,17,17.6,15,23,65.2,9,34,43,24,6,11,12,17
"FEB 23, 2015 - CHI vs. MIL",W,240,87,27,76,35.5,8,26,30.8,25,32,78.1,18,44,62,20,4,7,18,16
"FEB 21, 2015 - CHI vs. PHX",W,240,112,43,89,48.3,12,24,50,14,16,87.5,14,33,47,27,5,3,17,14
"FEB 20, 2015 - CHI @ DET",L,240,91,33,78,42.3,5,16,31.3,20,22,90.9,13,30,43,16,2,7,20,23
"FEB 12, 2015 - CHI vs. CLE",W,240,113,42,92,45.7,9,23,39.1,20,26,76.9,13,34,47,29,10,3,8,23
"FEB 10, 2015 - CHI vs. SAC",W,240,104,42,80,52.5,7,20,35,13,15,86.7,5,28,33,26,8,3,7,21
"FEB 08, 2015 - CHI @ ORL",W,240,98,37,77,48.1,8,22,36.4,16,18,88.9,7,28,35,27,11,1,15,11
"FEB 07, 2015 - CHI @ NOP",W,240,107,43,84,51.2,10,22,45.5,11,13,84.6,8,37,45,18,6,4,11,7
"FEB 04, 2015 - CHI @ HOU",L,240,90,31,89,34.8,8,25,32,20,26,76.9,18,42,60,16,3,5,12,17
"JAN 30, 2015 - CHI @ PHX",L,240,93,36,87,41.4,4,18,22.2,17,27,63,12,37,49,20,6,3,11,18
"JAN 29, 2015 - CHI @ LAL",L,290,118,43,104,41.3,6,25,24,26,32,81.3,17,32,49,26,9,6,11,21
